旧值,新值,旧翻译,新翻译
が3ターン以上の場合、,が<nobr>3ターン以上</nobr>の場合、,在3回合以上的时候，,
が3ターン以上の場合、使用可,が<nobr>3ターン以上</nobr>の場合、使用可,在3回合以上的时候，可以使用,
が6ターン以上の場合、,が<nobr>6ターン以上</nobr>の場合、,在6回合以上的时候，,
が6ターン以上の場合、使用可,が<nobr>6ターン以上</nobr>の場合、使用可,在6回合以上的时候，可以使用,
が8ターン以上の場合、,が<nobr>8ターン以上</nobr>の場合、,在8回合以上的时候，,
が8ターン以上の場合、使用可,が<nobr>8ターン以上</nobr>の場合、使用可,在8回合以上的时候，可以使用,
が10以上の場合、,が<nobr>10以上</nobr>の場合、,在10以上的时候，,
が10以上の場合、使用可,が<nobr>10以上</nobr>の場合、使用可,在10以上的时候，可以使用,
が3以上の場合、,が<nobr>3以上</nobr>の場合、,在3以上的时候，,
が3以上の場合、使用可,が<nobr>3以上</nobr>の場合、使用可,在3以上的时候，可以使用,
が30以上の場合、,が<nobr>30以上</nobr>の場合、,在30以上的时候，,
が30以上の場合、使用可,が<nobr>30以上</nobr>の場合、使用可,在30以上的时候，可以使用,
が7以上の場合、,が<nobr>7以上</nobr>の場合、,在7以上的时候，,
が7以上の場合、使用可,が<nobr>7以上</nobr>の場合、使用可,在7以上的时候，可以使用,
が12以上の場合、,が<nobr>12以上</nobr>の場合、,在12以上的时候，,
が12以上の場合、使用可,が<nobr>12以上</nobr>の場合、使用可,在12以上的时候，可以使用,
が5以上の場合、,が<nobr>5以上</nobr>の場合、,在5以上的时候，,
が5以上の場合、使用可,が<nobr>5以上</nobr>の場合、使用可,在5以上的时候，可以使用,
が8以上の場合、,が<nobr>8以上</nobr>の場合、,在8以上的时候，,
が8以上の場合、使用可,が<nobr>8以上</nobr>の場合、使用可,在8以上的时候，可以使用,
にあるスキルカードが1枚以上の場合、,にあるスキルカードが<nobr>1枚以上</nobr>の場合、,中的技能卡在1张以上的时候，,
にあるスキルカードが1枚以上の場合、使用可,にあるスキルカードが<nobr>1枚以上</nobr>の場合、使用可,中的技能卡在1张以上的时候，，可以使用,
が13以上の場合、,が<nobr>13以上</nobr>の場合、,在13以上的时候，,
が13以上の場合、使用可,が<nobr>13以上</nobr>の場合、使用可,在13以上的时候，可以使用,
が9以下の場合、,が<nobr>9以下</nobr>の場合、,在9以下的时候，,
が9以下の場合、使用可,が<nobr>9以下</nobr>の場合、使用可,在9以下的时候，可以使用,
が7ターン以下の場合、,が<nobr>7ターン以下</nobr>の場合、,在7回合以下的时候，,
が7ターン以下の場合、使用可,が<nobr>7ターン以下</nobr>の場合、使用可,在7回合以下的时候，可以使用,
が5ターン以上の場合、,が<nobr>5ターン以上</nobr>の場合、,在5回合以上的时候，,
が5ターン以上の場合、使用可,が<nobr>5ターン以上</nobr>の場合、使用可,在5回合以上的时候，可以使用,
が4ターン以上の場合、,が<nobr>4ターン以上</nobr>の場合、,在4回合以上的时候，,
が4ターン以上の場合、使用可,が<nobr>4ターン以上</nobr>の場合、使用可,在4回合以上的时候，可以使用,
が6以上の場合、,が<nobr>6以上</nobr>の場合、,在6以上的时候，,
が6以上の場合、使用可,が<nobr>6以上</nobr>の場合、使用可,在6以上的时候，可以使用,
使用後、体力が50%以下の場合、,使用後、体力が<nobr>50%以下</nobr>の場合、,使用后，体力在50%以下的时候，,
体力が50%以下の場合、使用可,体力が<nobr>50%以下</nobr>の場合、使用可,体力在50%以下的时候，可以使用,
体力が50%以下の場合、,体力が<nobr>50%以下</nobr>の場合、,体力在50%以下的时候，,
使用後、体力が50%以上の場合、,使用後、体力が<nobr>50%以上</nobr>の場合、,使用后，体力在50%以上的时候，,
体力が50%以上の場合、使用可,体力が<nobr>50%以上</nobr>の場合、使用可,体力在50%以上的时候，可以使用,
体力が50%以上の場合、,体力が<nobr>50%以上</nobr>の場合、,体力在50%以上的时候，,
を変更した回数が3回以上の場合、,を変更した回数が<nobr>3回以上</nobr>の場合、,变更次数在3次以上的时候，,
を変更した回数が3回以上の場合、使用可,を変更した回数が<nobr>3回以上</nobr>の場合、使用可,变更次数在3次以上的时候，可以使用,
を変更した回数が4回以上の場合、,を変更した回数が<nobr>4回以上</nobr>の場合、,变更次数在4次以上的时候，,
を変更した回数が4回以上の場合、使用可,を変更した回数が<nobr>4回以上</nobr>の場合、使用可,变更次数在4次以上的时候，可以使用,
が15以上の場合、,が<nobr>15以上</nobr>の場合、,在15以上的时候，,
が15以上の場合、使用可,が<nobr>15以上</nobr>の場合、使用可,在15以上的时候，可以使用,
50%,<nobr>,50%,
以下の場合、,50%,以下的时候，,
以下の場合、使用可,50%,以下的时候，可以使用,
以上の場合、,50%,以上的时候，,
以上の場合、使用可,50%,以上的时候，可以使用,
が1以上の場合、,が<nobr>1以上</nobr>の場合、,在1以上的时候，,
が1以上の場合、使用可,が<nobr>1以上</nobr>の場合、使用可,在1以上的时候，可以使用,
が10ターン以上の場合、,が<nobr>10ターン以上</nobr>の場合、,在10回合以上的时候，,
が10ターン以上の場合、使用可,が<nobr>10ターン以上</nobr>の場合、使用可,在10回合以上的时候，可以使用,
が7ターン以上の場合、,が<nobr>7ターン以上</nobr>の場合、,在7回合以上的时候，,
が7ターン以上の場合、使用可,が<nobr>7ターン以上</nobr>の場合、使用可,在7回合以上的时候，可以使用,
残り3ターン以内の場合、スキルカード（SSR）使用時、,残り<nobr>3ターン以内</nobr>の場合、スキルカード（SSR）使用時、,剩余3回合内的时候，技能卡（SSR）使用时，,
残り3ターン以内の場合、使用可,残り<nobr>3ターン以内</nobr>の場合、使用可,剩余3回合内的时候，可以使用,
残り3ターン以内の場合、,残り<nobr>3ターン以内</nobr>の場合、,剩余3回合内的时候，,
使用時、体力が30%以下の場合、,使用時、体力が<nobr>30%以下</nobr>の場合、,使用时，体力在30%以下的时候，,
体力が30%以下の場合、使用可,体力が<nobr>30%以下</nobr>の場合、使用可,体力在30%以下的时候，可以使用,
体力が30%以下の場合、,体力が<nobr>30%以下</nobr>の場合、,体力在30%以下的时候，,
スキルカード使用時、体力が50%以下の場合、,スキルカード使用時、体力が<nobr>50%以下</nobr>の場合、,技能卡使用时，体力在50%以下的时候，,
使用時、体力が50%以下の場合、,使用時、体力が<nobr>50%以下</nobr>の場合、,使用时，体力在50%以下的时候，,
効果のスキルカード使用時、体力が50%以下の場合、,効果のスキルカード使用時、体力が<nobr>50%以下</nobr>の場合、,效果的技能卡使用时，体力在50%以下的时候，,
スキルカード使用時、体力が50%以上の場合、,スキルカード使用時、体力が<nobr>50%以上</nobr>の場合、,技能卡使用时，体力在50%以上的时候，,
使用時、体力が50%以上の場合、,使用時、体力が<nobr>50%以上</nobr>の場合、,使用时，体力在50%以上的时候，,
スキルカード使用時、体力が80%以上の場合、,スキルカード使用時、体力が<nobr>80%以上</nobr>の場合、,技能卡使用时，体力在80%以上的时候，,
体力が80%以上の場合、使用可,体力が<nobr>80%以上</nobr>の場合、使用可,体力在80%以上的时候，可以使用,
体力が80%以上の場合、,体力が<nobr>80%以上</nobr>の場合、,体力在80%以上的时候，,
